CMAME	2016	2016 4th International Conference on Mechanical, Automotive and Materials Engineering (CMAME 2016) -- Ei & Scopus	CHENGDU
CMEM	2015	17th International Conference on Computational Methods and Experimental Measurements	OPATIJA
CML	2016	Constructive Machine Learning	BARCELONA
CMS	2011	2nd International Workshop on Conceptual Modelling of Services	MILAN
CMVIT	2017	2017 International Conference on Machine Vision and Information Technology (CMVIT 2017)	SINGAPORE
CN4IoT	2016	2nd EAI International Conference on Cloud, Networking for IoT systems	BRINDISI
CODS	2016	ACM IKDD Conference on Data Sciences, 2016	PUNE
CogMan	2015	IFIP/IEEE Workshop on Cognitive Network and Service Management	OTTAWA
CogSIMA	2017	2017 IEEE Conference on Cognitive and Computational Aspects of Situation Management	SAVANNAH
COLT	2016	Conference on Learning Theory	NEW YORK
COMAD	2011	The 17th International Conference on Management of Data	BANGALORE
COMAD	2012	18th International Conference on Management of Data	PUNE
COMAD	2013	19th International Conference on Management of Data	AHMEDABAD
COMAD	2014	International Conference on Management of Data (COMAD)	HYDERABAD
COMAD	2016	Conference on Management of Data, 2016	PUNE
COMPRAIL	2016	15th International Conference on Railway Engineering Design and Operation	MADRID
COOS	2016	The 4th International Workshop on Collaborative Online Organizations	SINGAPORE
COREDEMA @ ECAI	2016	2nd International Workshop on Conflict Resolution in Decision Making	THE HAGUE
CORES	2015	9th International Conference on Computer Recognition Systems	WROCLAW
COSIT	2015	12th International Conference on Spatial Information Theory	SANTA FE
CPAIOR (2nd CfP)	2017	CPAIOR 2017 Second CfP - Integration of AI, OR and CP for optimization	PADOVA
CPAIOR	2017	Fourteenth International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming	PADOVA
CPS	2013	Special Session on Cooperative Problem Solving	CRAIOVA
CPSCom	2016	The 9th IEEE International Conference on Cyber, Physical and Social Computing	CHENGDU
CRC	2016	2016 International Conference on Cybernetics, Robotics and Control (CRC 2016)	HONG KONG
CRC--Ei	2016	(CRC 2016)2016 International Conference on Cybernetics, Robotics and Control	HONG KONG
CRoNe	2015	Call for Posters - 1st Congress on Robotics and Neuroscience	VALPARAISO
CRoNe	2016	2nd Congress on Robotics and Neuroscience - Call for posters (extended)	VALPARAISO
CSBio	2016	7th International Conference on Computational Systems-Biology and Bioinformatics	UNIVERSITY OF MACAU
CSE	2012	The 15th IEEE International Conference on Computational Science and Engineering	PAPHOS
CSE	2013	The International Workshop on Cloud and Service Engineering	AALBORG
CSE	2016	Fourth International Conference on Computational Science and Engineering	DUBAI
CSIT	2016	The 7th International Conference on Computer Science & Information Technology 2016 [Indexed by IEEEXplore and technically co-sponsored By IEEE Computer Society]	AMMAN
CSMC	2016	1st Conference on Computer Simulation of Musical Creativity	HUDDERSFIELD
CSMO	2017	2017 International Conference on Simulation, Modeling and Optimization (CSMO 2017)--Ei&Scopus	PHUKET
CSPRED	2016	Computer-Supported Peer Review in Education	RALEIGH
CSTSC	2016	Workshop on AppliCations, Services and Techniques related to Smart City	GRAN CANARIA
CVM	2016	The 4th international conference on Computational Visual Media	CARDIFF UNIVERSITY
CVVT	2016	CVVT 2016 – 7th international Workshop on Computer Vision in Vehicle Technology @ CVPR 2016	LAS VEGAS
CyberC	2015	The 7th International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery	XI'AN
CyberC	2016	CyberC (Tech. Sponsored by IEEE CS, IEEE Big Data, IEEE SDN) China Oct. 13-14, 2016	CHENGDU
CyberSafety	2016	1st International Workshop on Computational Methods for CyberSafety	INDIANAPOLIS
CyberSec	2016	Call for Book Chapters- A New book on Cyber Security- Studies in Computational Intelligence-Springer	STUDIES IN COMPUTATIONAL INTELLIGENCE
DAB	2013	2nd International Workshop on Data and Artifact-Centric BPM	BEIJING
DAB	2014	3rd International Workshop on Data- and Artifact-Centric BPM	HAIFA
DaEng	2013	The First International Conference on Advanced Data and Information Engineering - LNEE Springer	KUALA LUMPUR
DALI	2011	Data, Logic and Inconsistency	TOULOUSE
DAMDID/RCDL	2015	XVII International Conference on Data Analytics and Management in Data Intensive Domains	OBNINSK
DaMEN	2013	The Second International Workshop on Data Management for Emerging Network Infrastructure	SYDNEY
DaMIS	2016	International Workshop on Data Mining on IoT Systems	LONDON
DaMNet	2015	The Fifth IEEE ICDM Workshop on Data Mining in Networks	ATLANTA
DaMNet	2016	The Sixth IEEE ICDM Workshop on Data Mining in Networks	BARCELONA
DaMoN	2011	Seventh International Workshop on Data Management on New Hardware	ATHENS
DaMoN	2013	Ninth International Workshop on Data Management on New Hardware	NEW YORK
DaMoN	2014	Tenth International Workshop on Data Management on New Hardware	SNOWBIRD
DanaC	2014	Workshop on Data Analytics in the Cloud	SONGBIRD
DAPHNE	2015	International Workshop on Data (Co-)Processing on Heterogeneous Hardware	BRUSSELS
DAPS	2016	Data mining for the Analysis of Performance and Success	BARCELONA
DARE	2016	ECML/PKDD 2016, 4th International Workshop on Data Analytics for Renewable Energy Integration	RIVA DEL GARDA
DARS	2016	13th International Symposium on Distributed Autonomous Robotic Systems	LONDON
DASFAA (Demo Track)	2015	The 20th International Conference on Database Systems for Advanced Applications (Demo Track)	HANOI
DASFAA	2013	The 18th International Conference on Database Systems for Advanced Applications	WUHAN
DASFAA	2017	The 22nd International Conference on Database Systems for Advanced Applications	SUZHOU
DATA	2012	International Conference on Data Technologies and Applications	ROME
DATA	2014	International Workshop on Data And Text Analytics, 8-13 Dec. 2014, New Delhi, India	NEW DELHI
DataCom	2015	2015 International Conference on Big Data Intelligence and Computing	CHENGDU
DATA STREAMS TRACK	2017	DATA STREAMS TRACK - ACM SAC 2017	MARRAKECH
DAVA	2016	2nd International Workshop on DAta mining meets Visual Analytics at big data era In Conjunction with CIKM 2016	INDIANAPOLIS
DaWaK	2011	13th International Conference on Data Warehousing and Knowledge Discovery	TOULOUSE
DaWaK	2012	14th International Conference on Data Warehousing and Knowledge Discovery	VIENNA
DaWaK	2013	15th International Conference on Data Warehousing and Knowledge Discovery	PRAGUE
DaWaK	2014	16th International Conference on Data Warehousing and Knowledge Discovery	MUNICH
DaWaK	2015	17th International Conference on Big Data Analytics and Knowledge Discovery - DaWaK 2015	VALENCIA
DBCrowd	2013	First VLDB Workshop on Databases and Crowdsourcing	RIVA DEL GARDA
DBDBD	2011	The Dutch Belgian Database Day	UNIVERSITY OF TWENTE
DBDBD	2012	The Dutch Belgian Database Day	BRUSSELS
DBDBD	2013	The Dutch-Belgian Database Day	ROTTERDAM
DBDBD	2014	The Dutch-Belgian Database Day 2014	ANTWERP
DBDM	2016	Fourth International Conference on Database and Data Mining	DUBAI
DBKDA	2012	The Fourth International Conference on Advances in Databases, Knowledge, and Data Applications	REUNION ISLAND
DBKDA	2016	The Eighth International Conference on Advances in Databases, Knowledge, and Data Applications	LISBON
DBLM	2011	International Workshop on Database Technology for Life Sciences and Medicine	TOULOUSE
DBLM	2012	International Workshop on Database Technology for Life Sciences and Medicine	VIENNA
DBPL	2011	The 13th International Symposium on Database Programming Languages	SEATTLE
DBPL	2013	14th International Symposium on Database Programming Languages	TRENTO
DBRank	2011	Fifth International Workshop on Ranking in Databases In Conjunction with VLDB 2011	SEATTLE
DBRank	2012	Sixth International Workshop on Ranking in Databases	INSTABUL
DBSocial	2011	ACM SIGMOD Workshop on Databases and Social Networks	ATHENS
DBSocial	2012	Second ACM SIGMOD Workshop on Databases and Social Networks	SCOTTSDALE
DBSocial	2013	ACM SIGMOD Workshop on Databases and Social Networks (DBSocial) 2013	NEW YORK
DBTest	2011	4th International Workshop on Testing Database Systems	ATHENS
DBTest	2012	Fifth International Workshop on Testing Database Systems	SCOTTSDALE
DC @ Baltic DB&IS	2014	Call for PhD Consortium - 11th International Baltic Conference on DB and IS, DB&IS2014 / June 9, 2014, Tallinn, ESTONIA	TALLINN
D-CLOUD	2011	The 2011 International Workshop on Data Cloud	HONG KONG
DCNET	2011	International Conference on Data Communication Networking (DCNET)	SEVILLE
DCNET	2012	International Conference on Data Communication Networking (DCNET)	ROME
DDDM	2011	The 5th International Workshop on Domain Driven Data Mining	VANCOUVER
DeepRL	2016	Deep Reinforcement Learning Workshop @IJCAI 2016	NEW YORK
DEOS	2013	Workshop on Data Extraction and Object Search	OXFORD
DEOS	2014	4th Workshop on Data Extraction and Object Search	SEOUL
DEXA	2011	Database and Expert Systems Applications	TOULOUSE
DEXA	2013	24th International Conference on Database and Expert Systems Applications	PRAGUE
DH	2015	Digital Humanities 2015: Global Digital Humanities	UNIVERSITY OF WESTERN SYDNEY
DICTA	2015	Digital Image Computing: Techniques and Applications	ADELAIDE
DILS	2013	The Ninth International Conference on Data Integration in the Life Sciences 2013	MONTREAL
DILS	2014	10th International Conference on Data Integration in the Life Sciences	LISBON
DIM	2012	IEEE International Workshop on Data Integration and Mining	LAS VEGAS
DIM	2013	The Second IEEE International Workshop on Data Integration and Mining	SAN FRANCISCO
DIM	2015	The Fourth IEEE International Workshop on Data Integration and Mining	SAN FRANCISCO
DIM	2016	The Fifth IEEE International Workshop on Data Integration and Mining	PITTSBURGH
DIPDMWC	2016	The Third International Conference on Digital Information Processing, Data Mining, and Wireless Communications	MOSCOW
DiPP	2013	International Conference on Digital Presentation and Preservation of Cultural and Scientific Heritage	VELIKO TARNOVO
Disaster Management	2015	4th International Conference on Disaster Management and Human Health: Reducing Risk, Improving Outcomes	ISTANBUL
Distributed Neural Networks@IJCNN	2016	Special Session on Distributed Learning Algorithms for Neural Networks	VANCOUVER
